Security,MCD US Equity ,,SBUX US Equity,,YUM US Equity,,CMG US Equity,,QSR US Equity,,YUMC US Equity,,DRI  US Equity,,DPZ  US Equity,,DNKN  US Equity,,WEN US Equity,,CAKE US Equity,
Start Date,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,2011/10/1,,40817,
End Date,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,2020/6/19,,44001,
Period,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME
2020/6/19,186.56,6264833,75.4,12527326,88.26,4135872,1010.83,428467,54.17,2128652,51.31,2751841,70.27,6750252,378.41,898712,64.09,1086284,21.86,3495664,22.92,10184292
2020/6/18,189.49,3153262,76.31,8485970,90.13,1428278,1030,230560,56.01,1203032,50.39,2132687,74.13,2295840,375.55,463192,64.51,982329,22.05,2144940,24.53,2027897
2020/6/17,190.79,3154073,77.1,6906721,91.26,1384634,1022.88,241467,56.2,1415046,50.68,5286092,74.19,2495830,380.67,674026,65.69,692276,21.82,2536530,24.14,2477025
2020/6/16,190.32,5434776,77.84,10890113,91.86,1842471,1031.8,313715,55.81,1723159,47.27,3302360,76.71,3047550,374.86,772143,65.39,937269,22.04,2476135,24.88,3591883
2020/6/15,189.49,4500420,76.96,14651213,91.44,1631002,1023.25,363924,56.22,1851092,47.53,3562221,76.5,2502247,377.92,925823,65.5,879133,21.87,2483969,25.13,3830443
2020/6/12,189.17,4108594,76.38,18529829,91.28,1806434,991.83,508791,55.76,1531261,49.25,2351404,75.94,3046767,378.15,1042465,64.66,743990,21.74,2474909,24.23,3454955
2020/6/11,187.51,5795967,72.57,26422155,90.67,2540492,1000.74,468408,55.22,2319426,48.73,1924587,72.93,4509712,382.79,786385,64.33,1048892,21.16,2778114,22.2,5779366
2020/6/10,195.8,3459865,79.01,19683806,94.09,2418612,1028.96,322121,57.62,2498897,50.21,1460150,77.77,2890626,392.32,849106,67.56,1015497,22.24,3599949,24.96,5170784
2020/6/9,199.52,3728614,82.37,7999828,95.56,2063466,1039.47,275899,59.46,3068292,50.94,1929271,80.89,3284576,382.22,818598,69.2,1085582,23.04,2629825,26.895,4755351
2020/6/8,202.65,4443911,83.56,10229593,95.99,2748022,1049.23,316111,59.73,2664967,51.49,2078793,84.74,3906113,375.82,640832,71.24,1880247,22.645,3740778,29.81,6005513
2020/6/5,197.16,4728306,82.14,12030778,96.52,3723062,1053.46,371204,59.4,2513189,49.72,1849075,85.59,3542084,376.41,715626,68.38,1189994,22.85,3511584,28.2,6835360
2020/6/4,193.24,3469436,78.74,7667564,94.99,2537040,1041.56,359549,57.79,5910070,49.61,2579238,86.04,3023857,382.78,697785,68.44,1079556,21.94,3169897,26.22,9108286
2020/6/3,193.29,3881453,79.58,9956666,94.56,2667131,1049.71,516559,58.55,5723359,49,2494841,85.93,4058486,390.14,609607,68.01,1011328,22.18,3046006,24.37,12285246
2020/6/2,187.59,3125455,77.78,9521014,92.21,2484181,1058.89,429511,57.09,5336170,47.53,2833561,78.12,1996081,384.86,660217,66.12,928040,21.94,3286652,20.95,3922823
2020/6/1,187.41,2169455,78.32,7936986,90.52,2014087,1047.88,714456,55.82,6931713,46.97,1801596,78.31,2337288,383.58,972593,65.44,1097921,21.9,2720960,20.78,2751159
2020/5/29,186.32,5719059,77.99,10108989,89.73,14610238,1003.91,671977,54.56,2008944,46.34,4361881,76.86,4405608,385.84,1123023,63.87,1401555,21.26,2890206,21.48,3838374
2020/5/28,188.73,3568464,78.54,8333918,90.85,4065885,995.09,631682,54.25,2978596,44.38,2361267,79.5,2835730,365.55,694264,65.58,1078607,21.23,2566884,21.77,3520313
2020/5/27,187.72,3993447,78.6,8245290,90.24,4590876,990,815676,55.5,2763965,45.09,3072449,81.56,3074143,373.97,1286161,65.26,982783,21.78,3248331,23.56,5626848
2020/5/26,184.84,3990870,77.76,8422249,88.05,3680787,1017,776250,54.34,3178285,45.09,5022859,78.47,3052833,360.16,866365,65.31,802636,20.7,3186392,21.3,3226893
2020/5/22,184.41,2475190,77.62,7653305,87.25,2247940,1055.7,451005,53.02,1880504,43.63,4664632,75.63,2551973,372.1,639808,64.57,452052,20.86,1763604,19.97,1524061
2020/5/21,185.08,2913846,78.05,10312641,88.01,2235935,1026.71,455322,53.34,1652795,47.52,2976773,77.22,2855450,375.24,443745,64.79,880271,20.86,2802673,19.96,1858848
2020/5/20,184.1,4920793,77.76,7790481,88.09,2653773,1029.96,414871,52.57,2686624,49.48,2350415,78.32,3942513,377.24,754146,64.38,802603,20.46,3108019,19.96,1649505
2020/5/19,179.57,3365030,75.86,6484878,86.86,2066570,1009.08,461202,52.35,3033494,48.75,2552960,75.82,3251646,370.01,619451,63.31,574368,20.12,4011339,20.07,2883853
2020/5/18,179.83,4653306,76.23,8912473,86.76,2550098,998.58,779318,52.35,2427469,46.56,2976941,75.45,2982947,364.5,1017781,63.61,930349,20.57,4412483,19.77,2726147
2020/5/15,173.81,6879617,74.16,9489146,84.9,3998422,971.75,852391,51.42,2787889,47.15,3192483,69.61,2528918,376.04,584618,63.2,1544170,20.86,4942969,18.515,2240418
2020/5/14,175.41,4868360,74.19,11932250,83.29,2684159,932.18,578734,51.01,2112963,48.81,2904191,66.66,3676919,376.01,741543,62.52,1076679,20.64,7711408,18.205,3482572
2020/5/13,172.82,4729120,73.62,11532701,80.44,2809094,902.59,717614,49.96,3978401,48.77,2207604,65.88,3965218,384.96,1075090,60.64,1137789,19.88,4044711,18.27,5406450
2020/5/12,176.54,3610581,74.35,8549922,84,1926439,929.85,686023,52.2,3084635,48.97,2424970,70.32,3604132,377.94,899274,63.62,1464787,20.78,4435269,19.34,3563835
2020/5/11,180.88,2631295,75.87,9004538,86.37,1785036,933.93,570679,52.59,2451658,48.92,1940979,73.93,2728858,377.49,10278782,65.37,1211982,21.12,5046507,21.355,2956141
2020/5/8,181.23,3411874,77.87,11921827,86.18,1949324,925.83,739720,51.67,2213378,48.55,1963423,74.72,2996296,369.11,940828,66,1592847,21.44,5548801,22.44,3689079
2020/5/7,181.12,3039953,76,13369310,84.6,1874058,897.51,493290,50.37,3621635,47.12,2098919,70.53,2304814,367.17,1312513,65.69,1730617,20.48,4919203,20.6,5946489
2020/5/6,176.97,3916862,72.96,12740910,83.17,1440311,867.04,291285,48.92,3292603,47.22,2168568,68.21,2553292,372.3,928532,63.51,1105439,20.21,7874814,19.71,3747114
2020/5/5,179.24,3828424,72.9,12976023,83.28,1929850,870.23,318986,48.98,3075181,46,1124159,68.99,2524383,371.46,778032,62.02,1035076,18.81,8098837,19.52,3382940
2020/5/4,181.87,4027063,71.89,12921795,83.09,1892926,875,281317,48.99,6665724,45.63,2834688,70.62,2042973,359.1,626431,62.41,1545806,19.28,3723084,20.02,2370925
2020/5/1,182.66,3764754,73.79,11216703,83.81,2130549,874.92,434854,48.32,6920080,46.41,2683920,69.85,3467699,357.3,794256,62.03,1567928,19.46,3140916,20.13,3578473
2020/4/30,187.56,7127221,76.73,15186034,86.43,2319667,878.55,449395,49.3,5022774,48.46,3416578,73.79,3299079,361.93,925845,62.84,2591613,19.86,3821640,22.29,4208743
2020/4/29,187.82,3465196,76.86,24575514,87.46,3261318,882.34,517502,51.11,4160783,49.91,5043006,78.21,3908824,362.01,868018,64.69,1540792,20.44,7128035,24.36,5675798
2020/4/28,185.93,3804981,78.69,12801386,88.27,2665879,868.36,516732,49.49,3758816,45.9,2157112,74.8,4123075,356.01,906457,62.29,1279809,19.79,3269808,21.33,4645902
2020/4/27,185.89,4048222,77.74,8258468,88.19,1840117,883.07,518543,47.84,5714296,45.93,3196376,72.4,3282376,362.03,791895,60.82,1447872,19.81,6424507,20.04,3816906
2020/4/24,184.02,3319849,75.58,8460619,85.89,2132129,882.47,532769,46.79,4135036,43.95,2909266,68.82,3508799,367.29,1035802,57.44,1478329,18.905,4205496,18.595,2515419
2020/4/23,182.04,5050147,75.15,15513357,85.61,2108931,867.02,1320501,46.18,6804860,45.68,2605000,66.87,4055079,369.64,2095538,58.47,1011425,18.23,4401525,18.3,3778199
2020/4/22,186.48,4245902,77.45,11355290,86.79,2923381,882.26,2359480,45.25,4667678,45.66,2731570,68.3,6673477,383.75,1398195,58.9,1357261,18.28,3032694,19.92,3327633
2020/4/21,177.58,4758289,72.72,10345787,81.2,2768870,786.69,977159,42.37,2953950,44.44,3098719,63.32,7066029,365.22,696711,55.97,1170967,17.42,4165587,18.8,2499360
2020/4/20,181.65,3856456,75.32,9684741,82.07,1827534,808.73,588034,44.08,3349270,45.21,4882692,61.79,2397671,370.48,843994,57.97,1357791,18.06,4967598,18.93,5786045
2020/4/17,186.1,6467814,77.1,14268386,84.17,3326695,820.27,658429,45.98,5181843,45.37,2765576,63.35,4037505,362.97,715704,61.41,1790817,18.4,4952725,18.72,3346299
2020/4/16,179.5,7120833,73.51,11946812,80.11,2376677,786.75,562861,42.53,3220057,43.57,3062036,57.98,2995485,360.47,862267,58.34,1954892,17.28,6353131,17.7,2721675
2020/4/15,177.84,4961463,72.55,10642533,77.64,1907642,770.1,571577,41.67,4634699,44.67,1567446,58.79,3735842,354.62,703343,55.31,1335357,16.74,5330208,17.42,3148340
2020/4/14,183.99,3864204,73.67,10911999,79.89,2502880,785.33,837839,42.64,3788216,45.99,1677507,61.15,3110780,358.26,713538,56.36,1439101,17.17,3958707,18.98,2960471
2020/4/13,180.12,3182573,71.76,11191792,77.06,2014452,744.08,682513,41.92,4817522,45.75,958827,60.89,2192051,355.14,755364,56.26,1927802,16.565,3101217,18.88,3449690
2020/4/9,183.7,4901856,73.88,19769563,80.37,4199894,771,1026624,43.9,7411782,45.48,1916867,64.34,4873158,343.64,641638,57.92,2013604,16.97,8392852,20.2,5190770
2020/4/8,177.49,5665728,71.57,10417639,75.37,3681964,725.12,613185,41.92,6926118,44.85,2237938,63.57,4056577,343.83,688196,58.6,1648309,16.04,7120853,18.48,5933619
2020/4/7,175.59,7848299,68.71,13799395,71.35,3908634,704.3,995823,39.31,7516313,43.35,3297351,58.96,6526175,333.96,737757,54.93,1795454,14.9,7156580,16.34,4587218
2020/4/6,177.04,8330914,67.79,18010771,70.5,3683808,689.99,984052,37.79,8110858,43.67,2266305,52.4,4857917,338.52,805563,52.56,1397091,14.44,5574386,16.79,4035224
