Week,State,Sum of Amount_Previous_year,Sum of dine_in_Previous_year
2/17/20,AL,987819.07,904014.94
2/17/20,AR,838506.77,644637.93
2/17/20,AZ,3158753.29,2818184.1
2/17/20,CA,46760590.73,37987878.39
2/17/20,CO,7237369.91,5996656.39
2/17/20,CT,6286077.43,5242087.39
2/17/20,DC,3830723.74,3451916.3
2/17/20,DE,730160.76,610464.27
2/17/20,FL,27709984.79,24182350.45
2/17/20,GA,2647521.25,2280306.25
2/17/20,IA,900320.76,803169.43
2/17/20,ID,687208.67,545171.72
2/17/20,IL,17711233.19,15393254.25
2/17/20,IN,4268319.09,3714361.94
2/17/20,KS,837465.28,709928.32
2/17/20,KY,2807235.67,2544527.09
2/17/20,LA,3827073.18,3535685.97
2/17/20,MA,23712610.29,20032000.05
2/17/20,MD,6928550.5,5818228.46
2/17/20,ME,2055300.68,1758652.13
2/17/20,MI,9558564.75,7944705.23
2/17/20,MN,2022970.35,1803905.63
2/17/20,MO,4096809.58,3561607.49
2/17/20,MS,1118413.89,1047867.82
2/17/20,MT,608812.74,560620.81
2/17/20,NC,4543382.23,3910407.68
2/17/20,NE,781233.54,678482.36
2/17/20,NH,1677071.53,1334991.77
2/17/20,NJ,4671224.67,3643553.73
2/17/20,NM,832464.98,736437
2/17/20,NV,2963563.47,2523255.25
2/17/20,NY,25749702.48,21199841.12
2/17/20,OH,11462935.96,9161196.99
2/17/20,OK,1739762.82,1395801.06
2/17/20,OR,3620802.34,2867596.37
2/17/20,PA,8796169.35,7597819.2
2/17/20,RI,2134493.99,1854691.51
2/17/20,SC,2592039.24,2330566.82
2/17/20,TN,4541487.39,4107544.01
2/17/20,TX,22550047.3,19725148.55
2/17/20,UT,2860381.81,2421154.9
2/17/20,VA,6818103.1,6091385.22
2/17/20,VT,1144402.29,1057609.81
2/17/20,WA,7801835.23,7139675.23
2/17/20,WI,3039906.12,2753797.91
2/17/20,WV,405487.01,276422.22
2/24/20,AL,1063602.48,963511.24
2/24/20,AR,849060,654075.81
2/24/20,AZ,3464005.79,3159245.86
2/24/20,CA,46227136.59,37309496.78
2/24/20,CO,6950210.39,5858936.12
2/24/20,CT,6170146.08,5074189.02
2/24/20,DC,4245026.11,3833378.82
2/24/20,DE,788598.36,655692.46
2/24/20,FL,27433330.87,23880595.99
2/24/20,GA,2734039.36,2332518.62
2/24/20,IA,1041036.93,916789.12
2/24/20,ID,695398.77,628798.43
2/24/20,IL,18291247.27,15892988.66
2/24/20,IN,4593082.25,4000208.21
2/24/20,KS,815813.04,687895.74
2/24/20,KY,2988953.24,2709852.34
2/24/20,LA,4059268.04,3731923.76
2/24/20,MA,23430680.34,19580700.08
2/24/20,MD,7068062.68,5866456.74
2/24/20,ME,1928420.5,1623597.25
2/24/20,MI,9954838.63,8220457.71
2/24/20,MN,2104522.29,1874127.84
2/24/20,MO,3887280.26,3380128.97
2/24/20,MS,1156911.98,1078642.9
2/24/20,MT,533671.41,489175.93
2/24/20,NC,4733975.32,4074178.96
2/24/20,NE,974947.03,860596.07
2/24/20,NH,1579325.96,1247180.99
2/24/20,NJ,4687446.88,3604669.25
2/24/20,NM,943479.32,836294.62
2/24/20,NV,2956656.09,2527218.71
2/24/20,NY,26022791.97,21208972.05
2/24/20,OH,11978446.31,9559289.19
2/24/20,OK,1657789.54,1301056.27
2/24/20,OR,3632773.83,3069249.42
2/24/20,PA,8823099.21,7563089.44
2/24/20,RI,1982303.08,1697312.85
