"State","Urbanization.rate","min","quantile.10","quantile.25","quantile.50","quantile.75","quantile.90","max"
"1","AL",0.59,-0.857142857142857,-0.142857142857143,6.85714285714286,8.14285714285714,11,14.2857142857143,16
"2","AR",0.562,-1.85714285714286,0.714285714285714,5.42857142857143,6.42857142857143,8.85714285714286,11.5714285714286,12.4285714285714
"3","AZ",0.898,-1.14285714285714,1.14285714285714,9.57142857142857,11.5714285714286,13.2857142857143,15.4285714285714,16.2857142857143
"4","CA",0.95,-0.714285714285714,1.28571428571429,11.7142857142857,15.4285714285714,17.4285714285714,20.7142857142857,22.5714285714286
"5","CO",0.862,-0.857142857142857,1.42857142857143,7.71428571428571,12,14.7142857142857,19.2857142857143,20.5714285714286
"6","CT",0.88,-0.571428571428571,1,9.28571428571428,13.4285714285714,17.2857142857143,20.1428571428571,21
"7","DC",1,-0.428571428571429,2.14285714285714,16,19,23,25.1428571428571,25.4285714285714
"8","DE",0.833,-0.714285714285714,0.142857142857143,8.57142857142857,11.4285714285714,15.7142857142857,18.1428571428571,18.7142857142857
"9","FL",0.912,-0.714285714285714,0.714285714285714,9.42857142857143,11.2857142857143,15.1428571428571,18,19
"10","GA",0.751,-1.14285714285714,0.857142857142857,8.85714285714286,10.7142857142857,13.5714285714286,17.1428571428571,18.5714285714286
"11","IA",0.64,-1.71428571428571,-0.285714285714286,5.28571428571429,9.28571428571429,12.2857142857143,14.7142857142857,15.2857142857143
"12","ID",0.706,-1.57142857142857,0,3,5.57142857142857,8.85714285714286,13.2857142857143,15.2857142857143
"13","IL",0.885,-1.28571428571429,0.142857142857143,8.28571428571429,13.8571428571429,16.2857142857143,19.2857142857143,19.5714285714286
"14","IN",0.724,-1.14285714285714,0,5.57142857142857,9.42857142857143,13.2857142857143,16.8571428571429,17.1428571428571
"15","KS",0.742,-2.42857142857143,-0.142857142857143,5.14285714285714,8,11.7142857142857,15.5714285714286,16
"16","KY",0.584,-1,0.285714285714286,6,9.28571428571429,12.5714285714286,15,15.7142857142857
"17","LA",0.732,-1.14285714285714,0.142857142857143,7.85714285714286,9,12.5714285714286,16.1428571428571,17.4285714285714
"18","MA",0.92,-0.428571428571429,2.42857142857143,11.2857142857143,15.8571428571429,20,22.8571428571429,23
"19","MD",0.872,-0.571428571428571,0.714285714285714,11.5714285714286,14.4285714285714,19.5714285714286,21.7142857142857,22.2857142857143
