State,Date,pred.1,pred.2,pred.3,pred.4,pred.5,Dine_In_2020_weekly_pct
AL,2020/2/17,0,0,0,0,0,0.902031433
AL,2020/2/24,0,0,0,0,0,0.906939896
AL,2020/3/2,0,0,0,0,0,0.900391693
AL,2020/3/9,0,0,0,0,0,0.900153289
AL,2020/3/16,0,0,0,0,0,0.68451875
AL,2020/3/23,0,0,0,0,0,0.485313072
AL,2020/3/30,0,0,0,0,0,0.435757069
AL,2020/4/6,0,0,0,0,0,0.432381402
AL,2020/4/13,0,0,0,0,0,0.39325982
AL,2020/4/20,0,0,0,0,0,0.385810972
AL,2020/4/27,0,0,0,0,0,0.411108026
AL,2020/5/4,0,0,0,0,0,0.424291573
AL,2020/5/11,0,0,0,0,0,0.663125014
AL,2020/5/18,0,0,0,0,0,0.718067306
AL,2020/5/25,0,0,0,0,0,0.758072586
AL,2020/6/1,0,0,0,0,0,0.774942237
AL,2020/6/8,0,0,0,0,0,0.791964895
AL,2020/6/15,0,0,0,0,0,0.795286052
AL,2020/6/22,0,0,0,0,0,0.788126444
AL,2020/6/29,0,0,0,0,0,0.778166446
AL,2020/7/6,0.792370739,0.792370739,0.792370739,0.792370739,0.792370739,0.792370739
AL,2020/10/26,0.920228554,0.713213389,0.675190196,0.59069421,0.493523826,0
AL,2021/4/26,0.912889466,0.705874301,0.667851107,0.583355122,0.486184738,0
AL,2022/1/24,0.897752447,0.690737282,0.652714088,0.568218102,0.471047719,0
AR,2020/2/17,0,0,0,0,0,0.789616589
AR,2020/2/24,0,0,0,0,0,0.783935358
AR,2020/3/2,0,0,0,0,0,0.766230747
AR,2020/3/9,0,0,0,0,0,0.746998705
AR,2020/3/16,0,0,0,0,0,0.45716035
AR,2020/3/23,0,0,0,0,0,0.185927158
AR,2020/3/30,0,0,0,0,0,0.169651723
AR,2020/4/6,0,0,0,0,0,0.134071832
AR,2020/4/13,0,0,0,0,0,0.160792763
AR,2020/4/20,0,0,0,0,0,0.156580077
AR,2020/4/27,0,0,0,0,0,0.158519403
AR,2020/5/4,0,0,0,0,0,0.194186363
AR,2020/5/11,0,0,0,0,0,0.387276729
AR,2020/5/18,0,0,0,0,0,0.427164664
AR,2020/5/25,0,0,0,0,0,0.52244375
AR,2020/6/1,0,0,0,0,0,0.594704853
AR,2020/6/8,0,0,0,0,0,0.614169965
AR,2020/6/15,0,0,0,0,0,0.607360101
AR,2020/6/22,0,0,0,0,0,0.606527795
AR,2020/6/29,0,0,0,0,0,0.611188294
AR,2020/7/6,0.612487235,0.612487235,0.612487235,0.612487235,0.612487235,0.612487235
AR,2020/10/26,0.654942293,0.515523916,0.485950321,0.414128733,0.333857547,0
AR,2021/4/26,0.651097701,0.511679325,0.48210573,0.410284142,0.330012955,0
AR,2022/1/24,0.713417063,0.573998686,0.544425091,0.472603503,0.392332317,0
AZ,2020/2/17,0,0,0,0,0,0.911985107
AZ,2020/2/24,0,0,0,0,0,0.911322845
AZ,2020/3/2,0,0,0,0,0,0.908304649
AZ,2020/3/9,0,0,0,0,0,0.90077048
AZ,2020/3/16,0,0,0,0,0,0.696121687
AZ,2020/3/23,0,0,0,0,0,0.542970856
AZ,2020/3/30,0,0,0,0,0,0.535372014
AZ,2020/4/6,0,0,0,0,0,0.543477037
AZ,2020/4/13,0,0,0,0,0,0.546947739
AZ,2020/4/20,0,0,0,0,0,0.551223766
AZ,2020/4/27,0,0,0,0,0,0.543201357
AZ,2020/5/4,0,0,0,0,0,0.54767618
AZ,2020/5/11,0,0,0,0,0,0.723475296
AZ,2020/5/18,0,0,0,0,0,0.768089402
AZ,2020/5/25,0,0,0,0,0,0.793207061
AZ,2020/6/1,0,0,0,0,0,0.786083785
AZ,2020/6/8,0,0,0,0,0,0.81003957
AZ,2020/6/15,0,0,0,0,0,0.791658415
AZ,2020/6/22,0,0,0,0,0,0.773861512
AZ,2020/6/29,0,0,0,0,0,0.741450348
AZ,2020/7/6,0.737913757,0.737913757,0.737913757,0.737913757,0.737913757,0.737913757
AZ,2020/10/26,0.901518145,0.652254987,0.593107797,0.542410205,0.479038216,0
