State,Date,Province_State,population,Amount_2019_weekly,Amount_2020_weekly,Dine_In_2019_weekly,Dine_In_2020_weekly,Off_Prem_2019_weekly,Off_Prem_2020_weekly,confirmed.add_weekly,deaths.add_weekly,recreation_mob_weekly,residential_mob_weekly,Urbanization.rate,DJUSRU,DJUSRU.t1,DJUSRU.t2,DJUSRU.t3,DJUSRU.t4,DJUSRU.t5,DJUSRU.t6
AL,2020/2/17,Alabama,4903185,141117.01,143866.4357,129144.9914,129778.3329,11972.01857,14088.10286,0,0,1,1.142857143,0.59,2039.43,2022.36,1993.68,1997.57,2031.36,2004.8,1967.95
AL,2020/2/24,Alabama,4903185,151943.2114,150859.5071,137647.32,136859.0771,14295.89143,14000.43,0,0,10.85714286,-0.857142857,0.59,1904.53,2039.43,2022.36,1993.68,1997.57,2031.36,2004.8
AL,2020/3/2,Alabama,4903185,146276.2457,140516.7229,132947.7057,126524.9471,13328.54,13991.77571,0,0,10.71428571,-0.428571429,0.59,1827.97,1904.53,2039.43,2022.36,1993.68,1997.57,2031.36
AL,2020/3/9,Alabama,4903185,158724.7386,134223.1643,146042.8743,120821.4229,12681.86429,13401.74143,1.571428571,0,5.714285714,-0.142857143,0.59,1631.21,1827.97,1904.53,2039.43,2022.36,1993.68,1997.57
AL,2020/3/16,Alabama,4903185,153381.7914,58614.31429,140349.8486,40122.59714,13031.94286,18491.71714,20.85714286,0,-21.14285714,8.571428571,0.59,1301.34,1631.21,1827.97,1904.53,2039.43,2022.36,1993.68
AL,2020/3/23,Alabama,4903185,169319.5343,36528.64429,155478.0729,17727.82857,13841.46143,18800.81571,95.42857143,1.428571429,-32.85714286,12.85714286,0.59,1441.38,1301.34,1631.21,1827.97,1904.53,2039.43,2022.36
AL,2020/3/30,Alabama,4903185,151010.4657,36688.81714,137704.9186,15987.41143,13305.54714,20701.40571,134.2857143,5,-35.14285714,14.28571429,0.59,1448.35,1441.38,1301.34,1631.21,1827.97,1904.53,2039.43
AL,2020/4/6,Alabama,4903185,166534.8886,36854.99143,153465.6029,15935.41286,13069.28571,20919.57857,256.8571429,6.857142857,-40.57142857,16,0.59,1590.7,1448.35,1441.38,1301.34,1631.21,1827.97,1904.53
AL,2020/4/13,Alabama,4903185,145956.5886,48106.98143,134143.0543,18918.54286,11813.53429,29188.43857,189.2857143,9.142857143,-30.42857143,14.28571429,0.59,1647.63,1590.7,1448.35,1441.38,1301.34,1631.21,1827.97
AL,2020/4/20,Alabama,4903185,161721.8643,46337.35143,151388.2771,17877.45857,10333.58714,28459.89286,219,8.857142857,-27.28571429,13.85714286,0.59,1685.4,1647.63,1590.7,1448.35,1441.38,1301.34,1631.21
AL,2020/4/27,Alabama,4903185,176570.3214,49030.82857,166158.3657,20156.96714,10411.95571,28873.86143,209.5714286,10.14285714,-19.71428571,11,0.59,1733.53,1685.4,1647.63,1590.7,1448.35,1441.38,1301.34
AL,2020/5/4,Alabama,4903185,157959.5729,52659.46143,148654.4129,22342.96571,9305.16,30316.49571,285.8571429,14.71428571,-15,10.14285714,0.59,1686.93,1733.53,1685.4,1647.63,1590.7,1448.35,1441.38
AL,2020/5/11,Alabama,4903185,162458.65,80249.59571,149431.3443,53215.51429,13027.30571,27034.08143,268.8571429,13.57142857,-11.57142857,9,0.59,1675.93,1686.93,1733.53,1685.4,1647.63,1590.7,1448.35
AL,2020/5/18,Alabama,4903185,165336.7529,86271.74571,153249.69,61948.92,12087.06286,24322.82571,386.7142857,9,-8.285714286,8.142857143,0.59,1747.03,1675.93,1686.93,1733.53,1685.4,1647.63,1590.7
AL,2020/5/25,Alabama,4903185,149085.8057,95478.91571,136599.1871,72379.94857,12486.61857,23098.96714,496.2857143,11.28571429,-10.85714286,9.285714286,0.59,1780.07,1747.03,1675.93,1686.93,1733.53,1685.4,1647.63
AL,2020/6/1,Alabama,4903185,163361.6886,95709.56857,150859.8414,74169.38714,12501.84714,21540.18143,364,8.857142857,-6.571428571,7.428571429,0.59,1830.86,1764.85,1747.03,1675.93,1686.93,1733.53,1685.4
