State,Date,Date Week,Amount_2019,Amount_2020,Dine_In_2019,Dine_In_2020,Dine_In_trend,Off_Prem_2019,Off_Prem_2020,Dine_In_2020_pct,Off_Prem_2020_pct,Total_Trend
AL,2020/2/17,16-Feb-20,92003.82,86457.54,82896.54,76529.38,-0.0768,9107.28,9928.16,0.885167216,0.114832784,-0.0603
AL,2020/2/18,16-Feb-20,98562.65,99376.9,89621.47,88825.74,-0.0089,8941.18,10551.16,0.893826835,0.106173165,0.0083
AL,2020/2/19,16-Feb-20,107517.94,111166.46,97206.24,101162.53,0.0407,10311.7,10003.93,0.910009458,0.089990542,0.0339
AL,2020/2/20,16-Feb-20,130059.05,127817.18,118595.95,112951.62,-0.0476,11463.1,14865.56,0.883696699,0.116303301,-0.0172
AL,2020/2/21,16-Feb-20,209626.22,218851.32,193246.07,194428.49,0.0061,16380.15,24422.83,0.888404466,0.111595534,0.044
AL,2020/2/22,16-Feb-20,210108.9,232676.55,193509.6,215228.86,0.1122,16599.3,17447.69,0.925013114,0.074986886,0.1074
AL,2020/2/23,23-Feb-20,139940.49,130719.1,128939.07,119277.71,-0.0749,11001.42,11441.39,0.912473464,0.087526536,-0.0659
AL,2020/2/24,23-Feb-20,87309.13,85713.49,78131.52,75666.9,-0.0315,9177.61,10046.59,0.882788695,0.117211305,-0.0183
AL,2020/2/25,23-Feb-20,122692.15,121960.39,111564.4,107619.01,-0.0354,11127.75,14341.38,0.882409527,0.117590473,-0.006
AL,2020/2/26,23-Feb-20,128135.8,120727.01,115574.07,109489.13,-0.0526,12561.73,11237.88,0.906914948,0.093085052,-0.0578
AL,2020/2/27,23-Feb-20,143015.14,148495.77,128727.23,135006.13,0.0488,14287.91,13489.64,0.909158086,0.090841914,0.0383
AL,2020/2/28,23-Feb-20,212505.01,218140.54,189479.67,198826.25,0.0493,23025.34,19314.29,0.91145942,0.08854058,0.0265
AL,2020/2/29,23-Feb-20,235448.79,231814.77,217950.7,213994.66,-0.0182,17498.09,17820.11,0.923127806,0.076872194,-0.0154
AL,2020/3/1,1-Mar-20,134496.46,129164.58,122083.65,117141.46,-0.0405,12412.81,12023.12,0.906916277,0.093083723,-0.0396
AL,2020/3/2,1-Mar-20,89874.1,75819.14,80135.7,65576.05,-0.1817,9738.4,10243.09,0.864901,0.135099,-0.1564
AL,2020/3/3,1-Mar-20,115014.98,106697.75,103886.92,94864.67,-0.0868,11128.06,11833.08,0.889097193,0.110902807,-0.0723
AL,2020/3/4,1-Mar-20,118606.85,110188.1,108036.77,97750.99,-0.0952,10570.08,12437.11,0.887128374,0.112871626,-0.071
AL,2020/3/5,1-Mar-20,136268.57,132778.2,122565.4,117310.12,-0.0429,13703.17,15468.08,0.88350437,0.11649563,-0.0256
AL,2020/3/6,1-Mar-20,207874.27,205354.69,187903.68,185880.48,-0.0108,19970.59,19474.21,0.905167932,0.094832068,-0.0121
AL,2020/3/7,1-Mar-20,212676.56,215695.39,195544.53,198994.78,0.0176,17132.03,16700.61,0.922573171,0.077426829,0.0142
AL,2020/3/8,8-Mar-20,143618.39,137083.79,132560.94,125263.54,-0.055,11057.45,11820.25,0.91377354,0.08622646,-0.0455
AL,2020/3/9,8-Mar-20,85222.77,85668.35,77320.63,73651.64,-0.0475,7902.14,12016.71,0.859729877,0.140270123,0.0052
AL,2020/3/10,8-Mar-20,121682.18,116835.73,111336.24,105926.75,-0.0486,10345.94,10908.98,0.906629761,0.093370239,-0.0398
AL,2020/3/11,8-Mar-20,128865.38,121219.14,118199.77,108392.6,-0.083,10665.61,12826.54,0.894187172,0.105812828,-0.0593
AL,2020/3/12,8-Mar-20,140075.37,143259.55,124670.44,129984.21,0.0426,15404.93,13275.34,0.907333647,0.092666353,0.0227
AL,2020/3/13,8-Mar-20,218319.16,178621.74,201104.36,160812.17,-0.2004,17214.8,17809.57,0.900294499,0.099705501,-0.1818
AL,2020/3/14,8-Mar-20,255140.15,190453.41,239248.69,174050.4,-0.2725,15891.46,16403.01,0.913873897,0.086126103,-0.2535
AL,2020/3/15,15-Mar-20,161768.16,103504.23,150408.99,92932.19,-0.3821,11359.17,10572.04,0.89785886,0.10214114,-0.3602
AL,2020/3/16,15-Mar-20,98234.82,67199.71,89083.9,57264.31,-0.3572,9150.92,9935.4,0.852151148,0.147848852,-0.3159
AL,2020/3/17,15-Mar-20,120417.96,75036.12,109845.76,60589.74,-0.4484,10572.2,14446.38,0.80747432,0.19252568,-0.3769
AL,2020/3/18,15-Mar-20,129891.82,70355.29,118752.86,51721.8,-0.5645,11138.96,18633.49,0.735151543,0.264848457,-0.4584
AL,2020/3/19,15-Mar-20,152993.5,65406.36,140112.54,44007.96,-0.6859,12880.96,21398.4,0.672839155,0.327160845,-0.5725
AL,2020/3/20,15-Mar-20,207635.14,58658.61,188860.24,31147.56,-0.8351,18774.9,27511.05,0.53099724,0.46900276,-0.7175
AL,2020/3/21,15-Mar-20,218208.88,48416.94,200654.69,26076.3,-0.87,17554.19,22340.64,0.538578027,0.461421973,-0.7781
AL,2020/3/22,22-Mar-20,146290.42,25227.17,135138.95,10050.51,-0.9256,11151.47,15176.66,0.398400217,0.601599783,-0.8276
AL,2020/3/23,22-Mar-20,106305.21,23539.54,96839.64,10745.95,-0.889,9465.57,12793.59,0.456506372,0.543493628,-0.7786
AL,2020/3/24,22-Mar-20,205538.63,37372.32,195736.23,18724.46,-0.9043,9802.4,18647.86,0.501024823,0.498975177,-0.8182
AL,2020/3/25,22-Mar-20,143524.35,37332.58,133528.17,19519.39,-0.8538,9996.18,17813.19,0.522851354,0.477148646,-0.7399
AL,2020/3/26,22-Mar-20,151384,39209.13,138361.91,19903.6,-0.8561,13022.09,19305.53,0.507626668,0.492373332,-0.741
AL,2020/3/27,22-Mar-20,212082.52,50040.65,191573.98,25592.53,-0.8664,20508.54,24448.12,0.511434804,0.488565196,-0.7641
AL,2020/3/28,22-Mar-20,222453.4,43991.13,204956.99,21028.55,-0.8974,17496.41,22962.58,0.478017955,0.521982045,-0.8022
AL,2020/3/29,29-Mar-20,143948.63,24215.16,127349.59,8580.32,-0.9326,16599.04,15634.84,0.354336705,0.645663295,-0.8318
AL,2020/3/30,29-Mar-20,93129.04,24773.91,84059.21,10044.14,-0.8805,9069.83,14729.77,0.405432166,0.594567834,-0.734
AL,2020/3/31,29-Mar-20,117369.87,29675.71,105882.68,13208.69,-0.8753,11487.19,16467.02,0.445101061,0.554898939,-0.7472
