"State","Date","Date.Week","Amount_2019_weekly","Amount_2020_weekly","Dine_In_2019_weekly","Dine_In_2020_weekly","Off_Prem_2019_weekly","Off_Prem_2020_weekly","Dine_In_2020_weekly_pct","Off_Prem_2020_weekly_pct","Province_State","confirmed","deaths","population","confirmed.add_weekly","deaths.add_weekly","recreation_mob_weekly","residential_mob_weekly","Density","Urbanization.rate","DJUSRU","DJUSRU.t1","DJUSRU.t2","DJUSRU.t3","DJUSRU.t4","DJUSRU.t5","DJUSRU.t6"
"AL",2020-02-17,2020-02-16,141117.01,143866.435714286,129144.991428571,129772.047142857,11972.0185714286,14094.3885714286,0.902031432825516,0.0979685671744839,"Alabama",0,0,4903185,0,0,1,1.14285714285714,96.9221,0.59,2039.15,2022.36,1993.68,1997.57,2032.01,2004.8,1967.95
"AL",2020-02-24,2020-02-23,151943.211428571,150859.507142857,137644.462857143,136820.505714286,14298.7485714286,14039.0014285714,0.90693989597038,0.0930601040296196,"Alabama",0,0,4903185,0,0,10.8571428571429,-0.857142857142857,96.9221,0.59,1904.53,2039.15,2022.36,1993.68,1997.57,2032.01,2004.8
"AL",2020-03-02,2020-03-01,146276.245714286,140516.722857143,132947.705714286,126520.09,13328.54,13996.6328571429,0.900391693084298,0.0996083069157015,"Alabama",0,0,4903185,0,0,10.7142857142857,-0.428571428571429,96.9221,0.59,1827.97,1904.53,2039.15,2022.36,1993.68,1997.57,2032.01
"AL",2020-03-09,2020-03-08,158724.738571429,134223.164285714,146041.302857143,120821.422857143,12683.4357142857,13401.7414285714,0.900153289487023,0.0998467105129767,"Alabama",0,0,4903185,1.57142857142857,0,5.71428571428571,-0.142857142857143,96.9221,0.59,1631.21,1827.97,1904.53,2039.15,2022.36,1993.68,1997.57
"AL",2020-03-16,2020-03-15,153381.791428571,58614.3142857143,140349.848571429,40122.5971428571,13031.9428571429,18491.7171428571,0.684518749929929,0.315481250070071,"Alabama",29,0,4903185,20.8571428571429,0,-21.1428571428571,8.57142857142857,96.9221,0.59,1301.34,1631.21,1827.97,1904.53,2039.15,2022.36,1993.68
"AL",2020-03-23,2020-03-22,169319.534285714,36528.6442857143,155478.072857143,17727.8285714286,13841.4614285714,18800.8157142857,0.485313071921523,0.514686928078477,"Alabama",196,0,4903185,95.4285714285714,1.42857142857143,-32.8571428571429,12.8571428571429,96.9221,0.59,1441.38,1301.34,1631.21,1827.97,1904.53,2039.15,2022.36
"AL",2020-03-30,2020-03-29,151010.465714286,36688.8171428571,137704.918571429,15987.4114285714,13305.5471428571,20701.4057142857,0.435757069145086,0.564242930854914,"Alabama",899,10,4903185,134.285714285714,5,-35.1428571428571,14.2857142857143,96.9221,0.59,1448.35,1441.38,1301.34,1631.21,1827.97,1904.53,2039.15
"AL",2020-04-06,2020-04-05,166534.888571429,36854.9914285714,153465.602857143,15935.4128571429,13069.2857142857,20919.5785714286,0.432381401798105,0.567618598201895,"Alabama",1952,49,4903185,256.857142857143,6.85714285714286,-40.5714285714286,16,96.9221,0.59,1604.6,1448.35,1441.38,1301.34,1631.21,1827.97,1904.53
"AL",2020-04-13,2020-04-12,145956.588571429,48106.9814285714,134143.054285714,18918.5428571429,11813.5342857143,29188.4385714286,0.393259819995833,0.606740180004168,"Alabama",3734,99,4903185,189.285714285714,9.14285714285714,-30.4285714285714,14.2857142857143,96.9221,0.59,1647.63,1604.6,1448.35,1441.38,1301.34,1631.21,1827.97
"AL",2020-04-20,2020-04-19,161721.864285714,46337.3514285714,151385.848571429,17877.4585714286,10336.0157142857,28459.8928571429,0.385810971500745,0.614189028499255,"Alabama",5079,163,4903185,219,8.85714285714286,-27.2857142857143,13.8571428571429,96.9221,0.59,1685.4,1647.63,1604.6,1448.35,1441.38,1301.34,1631.21
