Date,residential_mob_weekly,State,,,,,,,,,,
7/20/2020,7.761904762,AL,,,,,,,,,,
7/27/2020,7.73015873,AL,,,,,,,,,,
8/3/2020,7.830687831,AL,,,,,,,,,,
7/20/2020,6.714285714,AR,,,,,,,,,,
7/27/2020,6.952380952,AR,,,,,,,,,,
8/3/2020,7.222222222,AR,,,,,,,,,,
7/20/2020,11.88095238,AZ,,,,,,,,,,
7/27/2020,11.98412698,AZ,,,,,,,,,,
8/3/2020,12.12169312,AZ,,,,,,,,,,
7/20/2020,12.64285714,CA,,,,,,,,,,
7/27/2020,12.76190476,CA,,,,,,,,,,
8/3/2020,12.96825397,CA,,,,,,,,,,
7/20/2020,8.428571429,CO,,,,,,,,,,
7/27/2020,8.666666667,CO,,,,,,,,,,
8/3/2020,9.031746032,CO,,,,,,,,,,
7/20/2020,9.666666667,CT,,,,,,,,,,
7/27/2020,9.650793651,CT,,,,,,,,,,
8/3/2020,9.772486772,CT,,,,,,,,,,
7/20/2020,16.83333333,DC,,,,,,,,,,
7/27/2020,17.44444444,DC,,,,,,,,,,
8/3/2020,17.92592593,DC,,,,,,,,,,
7/20/2020,9.023809524,DE,,,,,,,,,,
7/27/2020,9.174603175,DE,,,,,,,,,,
8/3/2020,9.232804233,DE,,,,,,,,,,
7/20/2020,10.97619048,FL,,,,,,,,,,
7/27/2020,11.06349206,FL,,,,,,,,,,
8/3/2020,11.17989418,FL,,,,,,,,,,
7/20/2020,9.857142857,GA,,,,,,,,,,
7/27/2020,10.0952381,GA,,,,,,,,,,
8/3/2020,10.31746032,GA,,,,,,,,,,
7/20/2020,6.285714286,IA,,,,,,,,,,
7/27/2020,6.619047619,IA,,,,,,,,,,
8/3/2020,6.968253968,IA,,,,,,,,,,
7/20/2020,3.880952381,ID,,,,,,,,,,
7/27/2020,3.984126984,ID,,,,,,,,,,
8/3/2020,4.121693122,ID,,,,,,,,,,
7/20/2020,8.761904762,IL,,,,,,,,,,
7/27/2020,8.920634921,IL,,,,,,,,,,
8/3/2020,9.227513228,IL,,,,,,,,,,
7/20/2020,6.142857143,IN,,,,,,,,,,
7/27/2020,6.285714286,IN,,,,,,,,,,
8/3/2020,6.476190476,IN,,,,,,,,,,
7/20/2020,6.738095238,KS,,,,,,,,,,
7/27/2020,7.126984127,KS,,,,,,,,,,
8/3/2020,7.455026455,KS,,,,,,,,,,
7/20/2020,6.595238095,KY,,,,,,,,,,
7/27/2020,6.793650794,KY,,,,,,,,,,
8/3/2020,6.962962963,KY,,,,,,,,,,
7/20/2020,8.476190476,LA,,,,,,,,,,
7/27/2020,8.53968254,LA,,,,,,,,,,
8/3/2020,8.671957672,LA,,,,,,,,,,
7/20/2020,11.83333333,MA,,,,,,,,,,
7/27/2020,12.01587302,MA,,,,,,,,,,
8/3/2020,12.44973545,MA,,,,,,,,,,
7/20/2020,12.11904762,MD,,,,,,,,,,
7/27/2020,12.3968254,MD,,,,,,,,,,
8/3/2020,12.67195767,MD,,,,,,,,,,
7/20/2020,6.238095238,ME,,,,,,,,,,
7/27/2020,6.412698413,ME,,,,,,,,,,
8/3/2020,6.883597884,ME,,,,,,,,,,
7/20/2020,7.071428571,MI,,,,,,,,,,
7/27/2020,7.428571429,MI,,,,,,,,,,
8/3/2020,7.666666667,MI,,,,,,,,,,
7/20/2020,9.095238095,MN,,,,,,,,,,
7/27/2020,9.507936508,MN,,,,,,,,,,
8/3/2020,9.867724868,MN,,,,,,,,,,
7/20/2020,6.428571429,MO,,,,,,,,,,
7/27/2020,6.619047619,MO,,,,,,,,,,
8/3/2020,7.015873016,MO,,,,,,,,,,
7/20/2020,6.666666667,MS,,,,,,,,,,
7/27/2020,6.746031746,MS,,,,,,,,,,
8/3/2020,6.804232804,MS,,,,,,,,,,
7/20/2020,2.642857143,MT,,,,,,,,,,
7/27/2020,2.714285714,MT,,,,,,,,,,
8/3/2020,2.952380952,MT,,,,,,,,,,
7/20/2020,8.285714286,NC,,,,,,,,,,
7/27/2020,8.380952381,NC,,,,,,,,,,
8/3/2020,8.555555556,NC,,,,,,,,,,
7/20/2020,6.666666667,NE,,,,,,,,,,
7/27/2020,6.888888889,NE,,,,,,,,,,
8/3/2020,7.185185185,NE,,,,,,,,,,
7/20/2020,8.785714286,NH,,,,,,,,,,
7/27/2020,9,NH,,,,,,,,,,
8/3/2020,9.428571429,NH,,,,,,,,,,
7/20/2020,12.04761905,NJ,,,,,,,,,,
7/27/2020,12.3015873,NJ,,,,,,,,,,
8/3/2020,12.44973545,NJ,,,,,,,,,,
7/20/2020,9.785714286,NM,,,,,,,,,,
7/27/2020,10.14285714,NM,,,,,,,,,,
8/3/2020,10.47619048,NM,,,,,,,,,,
7/20/2020,10.04761905,NV,,,,,,,,,,
7/27/2020,10.25396825,NV,,,,,,,,,,
8/3/2020,10.43386243,NV,,,,,,,,,,
7/20/2020,11.0952381,NY,,,,,,,,,,
7/27/2020,11.31746032,NY,,,,,,,,,,
8/3/2020,11.47089947,NY,,,,,,,,,,
7/20/2020,6.904761905,OH,,,,,,,,,,
7/27/2020,7.158730159,OH,,,,,,,,,,
8/3/2020,7.354497354,OH,,,,,,,,,,
7/20/2020,6.714285714,OK,,,,,,,,,,
7/27/2020,7.047619048,OK,,,,,,,,,,
8/3/2020,7.253968254,OK,,,,,,,,,,
7/20/2020,7.642857143,OR,,,,,,,,,,
7/27/2020,7.761904762,OR,,,,,,,,,,
8/3/2020,7.968253968,OR,,,,,,,,,,
7/20/2020,8.333333333,PA,,,,,,,,,,
7/27/2020,8.53968254,PA,,,,,,,,,,
8/3/2020,8.624338624,PA,,,,,,,,,,
7/20/2020,8.595238095,RI,,,,,,,,,,
7/27/2020,8.698412698,RI,,,,,,,,,,
8/3/2020,8.931216931,RI,,,,,,,,,,
7/20/2020,7.833333333,SC,,,,,,,,,,
7/27/2020,7.968253968,SC,,,,,,,,,,
8/3/2020,8.100529101,SC,,,,,,,,,,
7/20/2020,7.142857143,TN,,,,,,,,,,
7/27/2020,7.238095238,TN,,,,,,,,,,
8/3/2020,7.46031746,TN,,,,,,,,,,
7/20/2020,12.5952381,TX,,,,,,,,,,
7/27/2020,12.74603175,TX,,,,,,,,,,
8/3/2020,12.94708995,TX,,,,,,,,,,
7/20/2020,8.023809524,UT,,,,,,,,,,
7/27/2020,8.26984127,UT,,,,,,,,,,
8/3/2020,8.597883598,UT,,,,,,,,,,
7/20/2020,10.38095238,VA,,,,,,,,,,
7/27/2020,10.65079365,VA,,,,,,,,,,
8/3/2020,11.01058201,VA,,,,,,,,,,
7/20/2020,8.333333333,VT,,,,,,,,,,
7/27/2020,8.634920635,VT,,,,,,,,,,
8/3/2020,8.989417989,VT,,,,,,,,,,
7/20/2020,9.452380952,WA,,,,,,,,,,
7/27/2020,9.698412698,WA,,,,,,,,,,
8/3/2020,9.883597884,WA,,,,,,,,,,
7/20/2020,7.523809524,WI,,,,,,,,,,
7/27/2020,7.793650794,WI,,,,,,,,,,
8/3/2020,8.105820106,WI,,,,,,,,,,
7/20/2020,5.19047619,WV,,,,,,,,,,
7/27/2020,5.444444444,WV,,,,,,,,,,
8/3/2020,5.544973545,WV,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
